2016-03-23 10:30:01.320|[AgentTask]|INFO |Log.TaskService| Task Start
2016-03-23 10:35:02.775|[21]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 10:35:02.790|[21]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 10:35:02.806|[21]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 10:35:02.806|[21]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 10:40:02.763|[30]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 10:40:02.763|[30]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 10:40:02.763|[30]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 10:40:02.763|[30]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 10:45:02.767|[39]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 10:45:02.767|[39]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 10:45:02.767|[39]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 10:45:02.767|[39]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 10:50:02.772|[48]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 10:50:02.772|[48]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 10:50:02.772|[48]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 10:50:02.772|[48]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 10:55:02.776|[54]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 10:55:02.776|[54]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 10:55:02.776|[54]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 10:55:02.776|[54]|INFO |Log.TaskService|开始执行更新抽水
2016-03-23 10:55:02.838|[54]|INFO |Log.TaskService|执行更新抽水时间：2016-03-23 10:55:02
2016-03-23 10:55:02.838|[54]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 11:00:02.780|[45]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 11:00:02.780|[45]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 11:00:02.780|[45]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 11:05:02.784|[36]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 11:05:02.784|[36]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 11:05:02.784|[36]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 11:05:02.784|[36]|INFO |Log.TaskService|开始执行更新抽水
2016-03-23 11:05:02.800|[36]|INFO |Log.TaskService|执行更新抽水时间：2016-03-23 11:05:02
2016-03-23 11:05:02.800|[36]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 11:10:02.788|[27]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 11:10:02.788|[27]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 11:10:02.788|[27]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 11:15:02.792|[20]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 11:15:02.792|[20]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 11:15:02.792|[20]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 11:15:02.792|[20]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 11:20:02.796|[10]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 11:20:02.796|[10]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 11:20:02.796|[10]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 11:20:02.796|[10]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 11:25:02.800|[5]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 11:25:02.800|[5]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 11:25:02.800|[5]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 11:25:02.800|[5]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 11:30:02.805|[67]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 11:30:02.805|[67]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 11:30:02.805|[67]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 11:30:02.805|[67]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 11:35:02.824|[75]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 11:35:02.824|[75]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 11:35:02.824|[75]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 11:35:02.824|[75]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 11:40:02.828|[79]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 11:40:02.828|[79]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 11:40:02.828|[79]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 11:40:02.828|[79]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 11:45:02.833|[87]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 11:45:02.833|[87]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 11:45:02.833|[87]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 11:45:02.833|[87]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 11:50:02.837|[95]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 11:50:02.837|[95]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 11:50:02.837|[95]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 11:50:02.837|[95]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 11:55:02.841|[99]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 11:55:02.841|[99]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 11:55:02.841|[99]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 11:55:02.841|[99]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 12:00:02.845|[109]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 12:00:02.845|[109]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 12:00:02.845|[109]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 12:00:02.845|[109]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
