2016-04-01 00:00:00.817|[AgentTask]|INFO |Log.TaskService| Task Start
2016-04-01 00:05:01.445|[18]|INFO |Log.TaskService|ReadXMLFile Start
2016-04-01 00:05:01.461|[18]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-04-01 00:05:01.477|[18]|INFO |Log.TaskService|获得执行计划的日期为：2016-04-01 11:5 
2016-04-01 00:05:01.477|[18]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-04-01 00:10:01.418|[28]|INFO |Log.TaskService|ReadXMLFile Start
2016-04-01 00:10:01.418|[28]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-04-01 00:10:01.418|[28]|INFO |Log.TaskService|获得执行计划的日期为：2016-04-01 11:5 
2016-04-01 00:10:01.418|[28]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-04-01 00:15:01.422|[31]|INFO |Log.TaskService|ReadXMLFile Start
2016-04-01 00:15:01.422|[31]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-04-01 00:15:01.422|[31]|INFO |Log.TaskService|获得执行计划的日期为：2016-04-01 11:5 
2016-04-01 00:15:01.422|[31]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-04-01 00:20:01.442|[44]|INFO |Log.TaskService|ReadXMLFile Start
2016-04-01 00:20:01.442|[44]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-04-01 00:20:01.442|[44]|INFO |Log.TaskService|获得执行计划的日期为：2016-04-01 11:5 
2016-04-01 00:20:01.442|[44]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-04-01 00:25:01.446|[53]|INFO |Log.TaskService|ReadXMLFile Start
2016-04-01 00:25:01.446|[53]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-04-01 00:25:01.446|[53]|INFO |Log.TaskService|获得执行计划的日期为：2016-04-01 11:5 
2016-04-01 00:25:01.446|[53]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-04-01 00:30:01.450|[53]|INFO |Log.TaskService|ReadXMLFile Start
2016-04-01 00:30:01.450|[53]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-04-01 00:30:01.450|[53]|INFO |Log.TaskService|获得执行计划的日期为：2016-04-01 11:5 
2016-04-01 00:30:01.450|[53]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-04-01 00:35:01.454|[43]|INFO |Log.TaskService|ReadXMLFile Start
2016-04-01 00:35:01.454|[43]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-04-01 00:35:01.454|[43]|INFO |Log.TaskService|获得执行计划的日期为：2016-04-01 11:5 
2016-04-01 00:35:01.454|[43]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-04-01 00:40:01.459|[37]|INFO |Log.TaskService|ReadXMLFile Start
2016-04-01 00:40:01.459|[37]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-04-01 00:40:01.459|[37]|INFO |Log.TaskService|获得执行计划的日期为：2016-04-01 11:5 
2016-04-01 00:40:01.459|[37]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-04-01 00:45:01.463|[30]|INFO |Log.TaskService|ReadXMLFile Start
2016-04-01 00:45:01.463|[30]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-04-01 00:45:01.463|[30]|INFO |Log.TaskService|获得执行计划的日期为：2016-04-01 11:5 
2016-04-01 00:45:01.463|[30]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-04-01 00:50:01.467|[18]|INFO |Log.TaskService|ReadXMLFile Start
2016-04-01 00:50:01.467|[18]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-04-01 00:50:01.467|[18]|INFO |Log.TaskService|获得执行计划的日期为：2016-04-01 11:5 
2016-04-01 00:50:01.467|[18]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-04-01 00:55:01.471|[16]|INFO |Log.TaskService|ReadXMLFile Start
2016-04-01 00:55:01.471|[16]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-04-01 00:55:01.471|[16]|INFO |Log.TaskService|获得执行计划的日期为：2016-04-01 11:5 
2016-04-01 00:55:01.471|[16]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-04-01 01:00:01.475|[13]|INFO |Log.TaskService|ReadXMLFile Start
2016-04-01 01:00:01.475|[13]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-04-01 01:00:01.475|[13]|INFO |Log.TaskService|获得执行计划的日期为：2016-04-01 11:5 
2016-04-01 01:00:01.475|[13]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-04-01 01:05:01.479|[62]|INFO |Log.TaskService|ReadXMLFile Start
2016-04-01 01:05:01.479|[62]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-04-01 01:05:01.479|[62]|INFO |Log.TaskService|获得执行计划的日期为：2016-04-01 11:5 
2016-04-01 01:05:01.479|[62]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-04-01 01:10:01.483|[67]|INFO |Log.TaskService|ReadXMLFile Start
2016-04-01 01:10:01.483|[67]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-04-01 01:10:01.483|[67]|INFO |Log.TaskService|获得执行计划的日期为：2016-04-01 11:5 
2016-04-01 01:10:01.483|[67]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-04-01 01:15:01.503|[68]|INFO |Log.TaskService|ReadXMLFile Start
2016-04-01 01:15:01.503|[68]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
